SPL log data saved by REW V5.20.4
Soundcard cal: 
Mic/meter cal: 
SPL cal offset: 139.66781387329104 dB
High Pass Filter: Off
Date: Mar 4, 2022 11:54:28 AM
Start: 1646394868632
Log length: 538 entries over 91.8s
Log interval: 0.17066666666666666 seconds

Time[s] LCS LCSMin LCSMax LZpeak LCeq LCE LCeq1m LCeq10m
0.171 43.9 43.9 44.4 58.9 43.2 35.6 43.2 43.2 11:54:28.171
0.341 43.2 43.2 44.4 58.9 42.9 38.2 42.9 42.9 11:54:28.341
0.512 42.4 42.4 44.4 58.9 42.6 39.6 42.6 42.6 11:54:28.512
0.683 41.7 41.7 44.4 58.9 42.3 40.7 42.3 42.3 11:54:28.683
0.853 41.9 41.7 44.4 58.9 42.4 41.7 42.4 42.4 11:54:28.853
1.024 41.7 41.7 44.4 58.9 42.4 42.5 42.4 42.4 11:54:29.024
1.195 41.5 41.5 44.4 58.9 42.3 43.0 42.3 42.3 11:54:29.195
1.365 41.6 41.5 44.4 58.9 42.2 43.6 42.2 42.2 11:54:29.365
1.536 41.6 41.5 44.4 58.9 42.2 44.1 42.2 42.2 11:54:29.536
1.707 41.6 41.5 44.4 58.9 42.2 44.5 42.2 42.2 11:54:29.707
1.877 41.4 41.4 44.4 58.9 42.2 44.9 42.2 42.2 11:54:29.877
2.048 41.3 41.2 44.4 58.9 42.1 45.3 42.1 42.1 11:54:30.048
2.219 41.3 41.2 44.4 58.9 42.1 45.6 42.1 42.1 11:54:30.219
2.389 41.4 41.2 44.4 58.9 42.1 45.9 42.1 42.1 11:54:30.389
2.560 41.5 41.2 44.4 58.9 42.1 46.2 42.1 42.1 11:54:30.560
2.731 41.6 41.2 44.4 58.9 42.1 46.4 42.1 42.1 11:54:30.731
2.901 41.6 41.2 44.4 58.9 42.1 46.7 42.1 42.1 11:54:30.901
3.072 41.7 41.2 44.4 58.9 42.0 46.9 42.0 42.0 11:54:31.072
3.243 41.7 41.2 44.4 58.9 42.0 47.2 42.0 42.0 11:54:31.243
3.413 41.7 41.2 44.4 58.9 42.0 47.4 42.0 42.0 11:54:31.413
3.584 41.8 41.2 44.4 58.9 42.0 47.6 42.0 42.0 11:54:31.584
3.755 41.8 41.2 44.4 58.9 42.0 47.8 42.0 42.0 11:54:31.755
3.925 41.8 41.2 44.4 58.9 42.0 48.0 42.0 42.0 11:54:31.925
4.096 41.3 41.2 44.4 58.9 42.0 48.1 42.0 42.0 11:54:32.096
4.267 41.3 41.2 44.4 58.9 42.0 48.3 42.0 42.0 11:54:32.267
4.437 41.0 41.0 44.4 58.9 42.0 48.4 42.0 42.0 11:54:32.437
4.608 41.1 41.0 44.4 58.9 41.9 48.6 41.9 41.9 11:54:32.608
4.779 41.1 41.0 44.4 58.9 41.9 48.7 41.9 41.9 11:54:32.779
4.949 41.2 41.0 44.4 58.9 41.9 48.9 41.9 41.9 11:54:32.949
5.120 41.4 41.0 44.4 58.9 41.9 49.0 41.9 41.9 11:54:33.120
5.291 41.3 41.0 44.4 58.9 41.9 49.2 41.9 41.9 11:54:33.291
5.461 41.3 41.0 44.4 58.9 41.9 49.3 41.9 41.9 11:54:33.461
5.632 41.4 41.0 44.4 58.9 41.9 49.4 41.9 41.9 11:54:33.632
5.803 41.2 41.0 44.4 58.9 41.9 49.5 41.9 41.9 11:54:33.803
5.973 41.3 41.0 44.4 58.9 41.9 49.7 41.9 41.9 11:54:33.973
6.144 41.5 41.0 44.4 61.4 41.9 49.8 41.9 41.9 11:54:34.144
6.315 43.9 41.0 44.4 66.3 42.8 50.8 42.8 42.8 11:54:34.315
6.485 45.2 41.0 45.2 66.3 43.3 51.4 43.3 43.3 11:54:34.485
6.656 45.3 41.0 45.8 67.4 43.5 51.7 43.5 43.5 11:54:34.656
6.827 45.0 41.0 45.8 67.4 43.6 51.9 43.6 43.6 11:54:34.827
6.997 45.4 41.0 45.8 67.4 43.8 52.2 43.8 43.8 11:54:34.997
7.168 44.6 41.0 45.8 67.4 43.8 52.3 43.8 43.8 11:54:35.168
7.339 43.9 41.0 45.8 67.4 43.7 52.4 43.7 43.7 11:54:35.339
7.509 43.2 41.0 45.8 67.4 43.7 52.5 43.7 43.7 11:54:35.509
7.680 42.7 41.0 45.8 67.4 43.7 52.6 43.7 43.7 11:54:35.680
7.851 43.5 41.0 45.8 67.4 43.9 52.8 43.9 43.9 11:54:35.851
8.021 42.8 41.0 45.8 67.4 43.8 52.9 43.8 43.8 11:54:36.021
8.192 42.1 41.0 45.8 67.4 43.8 52.9 43.8 43.8 11:54:36.192
8.363 43.4 41.0 45.8 68.4 44.0 53.2 44.0 44.0 11:54:36.363
8.533 43.0 41.0 45.8 68.4 44.0 53.3 44.0 44.0 11:54:36.533
8.704 42.8 41.0 45.8 68.4 44.0 53.4 44.0 44.0 11:54:36.704
8.875 42.1 41.0 45.8 68.4 43.9 53.4 43.9 43.9 11:54:36.875
9.045 42.5 41.0 45.8 68.4 43.9 53.5 43.9 43.9 11:54:37.045
9.216 42.6 41.0 45.8 68.4 43.9 53.6 43.9 43.9 11:54:37.216
9.387 42.7 41.0 45.8 68.4 43.9 53.6 43.9 43.9 11:54:37.387
9.557 43.2 41.0 45.8 68.4 44.0 53.8 44.0 44.0 11:54:37.557
9.728 43.5 41.0 45.8 68.4 44.0 53.9 44.0 44.0 11:54:37.728
9.899 43.1 41.0 45.8 68.4 44.0 53.9 44.0 44.0 11:54:37.899
10.069 42.7 41.0 45.8 68.4 43.9 54.0 43.9 43.9 11:54:38.069
10.240 41.9 41.0 45.8 68.4 43.9 54.0 43.9 43.9 11:54:38.240
10.411 42.1 41.0 45.8 68.4 43.9 54.1 43.9 43.9 11:54:38.411
10.581 43.5 41.0 45.8 68.4 44.0 54.3 44.0 44.0 11:54:38.581
10.752 44.1 41.0 45.8 68.4 44.1 54.4 44.1 44.1 11:54:38.752
10.923 43.7 41.0 45.8 68.4 44.1 54.5 44.1 44.1 11:54:38.923
11.093 42.9 41.0 45.8 68.4 44.1 54.5 44.1 44.1 11:54:39.093
11.264 42.2 41.0 45.8 68.4 44.1 54.6 44.1 44.1 11:54:39.264
11.435 41.7 41.0 45.8 68.4 44.0 54.6 44.0 44.0 11:54:39.435
11.605 41.8 41.0 45.8 68.4 44.0 54.7 44.0 44.0 11:54:39.605
11.776 41.5 41.0 45.8 68.4 44.0 54.7 44.0 44.0 11:54:39.776
11.947 42.4 41.0 45.8 68.4 44.0 54.8 44.0 44.0 11:54:39.947
12.117 42.2 41.0 45.8 68.4 44.0 54.8 44.0 44.0 11:54:40.117
12.288 41.8 41.0 45.8 68.4 44.0 54.9 44.0 44.0 11:54:40.288
12.459 41.6 41.0 45.8 68.4 44.0 54.9 44.0 44.0 11:54:40.459
12.629 41.6 41.0 45.8 68.4 43.9 55.0 43.9 43.9 11:54:40.629
12.800 41.7 41.0 45.8 68.4 43.9 55.0 43.9 43.9 11:54:40.800
12.971 41.2 41.0 45.8 68.4 43.9 55.0 43.9 43.9 11:54:40.971
13.141 41.3 41.0 45.8 68.4 43.9 55.1 43.9 43.9 11:54:41.141
13.312 41.4 41.0 45.8 68.4 43.8 55.1 43.8 43.8 11:54:41.312
13.483 41.5 41.0 45.8 68.4 43.8 55.1 43.8 43.8 11:54:41.483
13.653 41.6 41.0 45.8 68.4 43.8 55.2 43.8 43.8 11:54:41.653
13.824 41.3 41.0 45.8 68.4 43.8 55.2 43.8 43.8 11:54:41.824
13.995 42.1 41.0 45.8 68.4 43.8 55.3 43.8 43.8 11:54:41.995
14.165 42.1 41.0 45.8 68.4 43.8 55.3 43.8 43.8 11:54:42.165
14.336 41.9 41.0 45.8 68.4 43.8 55.4 43.8 43.8 11:54:42.336
14.507 42.0 41.0 45.8 68.4 43.8 55.4 43.8 43.8 11:54:42.507
14.677 41.7 41.0 45.8 68.4 43.8 55.4 43.8 43.8 11:54:42.677
14.848 41.8 41.0 45.8 68.4 43.7 55.5 43.7 43.7 11:54:42.848
15.019 41.3 41.0 45.8 68.4 43.7 55.5 43.7 43.7 11:54:43.019
15.189 41.3 41.0 45.8 68.4 43.7 55.5 43.7 43.7 11:54:43.189
15.360 41.2 41.0 45.8 68.4 43.7 55.5 43.7 43.7 11:54:43.360
15.531 41.3 41.0 45.8 68.4 43.7 55.6 43.7 43.7 11:54:43.531
15.701 41.1 41.0 45.8 68.4 43.6 55.6 43.6 43.6 11:54:43.701
15.872 40.9 40.9 45.8 68.4 43.6 55.6 43.6 43.6 11:54:43.872
16.043 41.0 40.9 45.8 68.4 43.6 55.7 43.6 43.6 11:54:44.043
16.213 41.0 40.9 45.8 68.4 43.6 55.7 43.6 43.6 11:54:44.213
16.384 41.1 40.9 45.8 68.4 43.6 55.7 43.6 43.6 11:54:44.384
16.555 41.1 40.9 45.8 68.4 43.6 55.7 43.6 43.6 11:54:44.555
16.725 41.2 40.9 45.8 68.4 43.5 55.8 43.5 43.5 11:54:44.725
16.896 41.4 40.9 45.8 68.4 43.5 55.8 43.5 43.5 11:54:44.896
17.067 41.4 40.9 45.8 68.4 43.5 55.8 43.5 43.5 11:54:45.067
17.237 41.5 40.9 45.8 68.4 43.5 55.9 43.5 43.5 11:54:45.237
17.408 40.8 40.8 45.8 68.4 43.5 55.9 43.5 43.5 11:54:45.408
17.579 40.9 40.8 45.8 68.4 43.5 55.9 43.5 43.5 11:54:45.579
17.749 41.0 40.8 45.8 68.4 43.4 55.9 43.4 43.4 11:54:45.749
17.920 41.1 40.8 45.8 68.4 43.4 56.0 43.4 43.4 11:54:45.920
18.091 41.3 40.8 45.8 68.4 43.4 56.0 43.4 43.4 11:54:46.091
18.261 40.9 40.8 45.8 68.4 43.4 56.0 43.4 43.4 11:54:46.261
18.432 41.1 40.8 45.8 68.4 43.4 56.0 43.4 43.4 11:54:46.432
18.603 41.2 40.8 45.8 68.4 43.4 56.1 43.4 43.4 11:54:46.603
18.773 41.4 40.8 45.8 68.4 43.4 56.1 43.4 43.4 11:54:46.773
18.944 41.4 40.8 45.8 68.4 43.4 56.1 43.4 43.4 11:54:46.944
19.115 41.5 40.8 45.8 68.4 43.3 56.2 43.3 43.3 11:54:47.115
19.285 41.2 40.8 45.8 68.4 43.3 56.2 43.3 43.3 11:54:47.285
19.456 41.3 40.8 45.8 68.4 43.3 56.2 43.3 43.3 11:54:47.456
19.627 41.1 40.8 45.8 68.4 43.3 56.2 43.3 43.3 11:54:47.627
19.797 40.9 40.8 45.8 68.4 43.3 56.3 43.3 43.3 11:54:47.797
19.968 40.7 40.7 45.8 68.4 43.3 56.3 43.3 43.3 11:54:47.968
20.139 40.8 40.7 45.8 68.4 43.3 56.3 43.3 43.3 11:54:48.139
20.309 41.1 40.7 45.8 68.4 43.3 56.3 43.3 43.3 11:54:48.309
20.480 41.2 40.7 45.8 68.4 43.3 56.4 43.3 43.3 11:54:48.480
20.651 41.3 40.7 45.8 68.4 43.2 56.4 43.2 43.2 11:54:48.651
20.821 41.2 40.7 45.8 68.4 43.2 56.4 43.2 43.2 11:54:48.821
20.992 41.2 40.7 45.8 68.4 43.2 56.4 43.2 43.2 11:54:48.992
21.163 41.2 40.7 45.8 68.4 43.2 56.5 43.2 43.2 11:54:49.163
21.333 41.1 40.7 45.8 68.4 43.2 56.5 43.2 43.2 11:54:49.333
21.504 41.2 40.7 45.8 68.4 43.2 56.5 43.2 43.2 11:54:49.504
21.675 41.4 40.7 45.8 68.4 43.2 56.5 43.2 43.2 11:54:49.675
21.845 41.3 40.7 45.8 68.4 43.2 56.6 43.2 43.2 11:54:49.845
22.016 41.0 40.7 45.8 68.4 43.2 56.6 43.2 43.2 11:54:50.016
22.187 41.0 40.7 45.8 68.4 43.1 56.6 43.1 43.1 11:54:50.187
22.357 41.0 40.7 45.8 68.4 43.1 56.6 43.1 43.1 11:54:50.357
22.528 41.2 40.7 45.8 68.4 43.1 56.7 43.1 43.1 11:54:50.528
22.699 41.4 40.7 45.8 68.4 43.1 56.7 43.1 43.1 11:54:50.699
22.869 41.4 40.7 45.8 68.4 43.1 56.7 43.1 43.1 11:54:50.869
23.040 41.2 40.7 45.8 68.4 43.1 56.7 43.1 43.1 11:54:51.040
23.211 41.0 40.7 45.8 68.4 43.1 56.7 43.1 43.1 11:54:51.211
23.381 41.1 40.7 45.8 68.4 43.1 56.8 43.1 43.1 11:54:51.381
23.552 41.0 40.7 45.8 68.4 43.1 56.8 43.1 43.1 11:54:51.552
23.723 41.1 40.7 45.8 68.4 43.1 56.8 43.1 43.1 11:54:51.723
23.893 41.2 40.7 45.8 68.4 43.1 56.8 43.1 43.1 11:54:51.893
24.064 41.3 40.7 45.8 68.4 43.0 56.9 43.0 43.0 11:54:52.064
24.235 41.4 40.7 45.8 68.4 43.0 56.9 43.0 43.0 11:54:52.235
24.405 41.5 40.7 45.8 68.4 43.0 56.9 43.0 43.0 11:54:52.405
24.576 41.3 40.7 45.8 68.4 43.0 56.9 43.0 43.0 11:54:52.576
24.747 41.5 40.7 45.8 68.4 43.0 57.0 43.0 43.0 11:54:52.747
24.917 41.6 40.7 45.8 68.4 43.0 57.0 43.0 43.0 11:54:52.917
25.088 41.6 40.7 45.8 68.4 43.0 57.0 43.0 43.0 11:54:53.088
25.259 41.4 40.7 45.8 68.4 43.0 57.0 43.0 43.0 11:54:53.259
25.429 41.0 40.7 45.8 68.4 43.0 57.0 43.0 43.0 11:54:53.429
25.600 41.0 40.7 45.8 68.4 43.0 57.1 43.0 43.0 11:54:53.600
25.771 41.0 40.7 45.8 68.4 43.0 57.1 43.0 43.0 11:54:53.771
25.941 40.8 40.7 45.8 68.4 43.0 57.1 43.0 43.0 11:54:53.941
26.112 40.9 40.7 45.8 68.4 43.0 57.1 43.0 43.0 11:54:54.112
26.283 41.1 40.7 45.8 68.4 42.9 57.1 42.9 42.9 11:54:54.283
26.453 41.2 40.7 45.8 68.4 42.9 57.2 42.9 42.9 11:54:54.453
26.624 41.3 40.7 45.8 68.4 42.9 57.2 42.9 42.9 11:54:54.624
26.795 41.2 40.7 45.8 68.4 42.9 57.2 42.9 42.9 11:54:54.795
26.965 41.2 40.7 45.8 68.4 42.9 57.2 42.9 42.9 11:54:54.965
27.136 41.1 40.7 45.8 68.4 42.9 57.2 42.9 42.9 11:54:55.136
27.307 41.2 40.7 45.8 68.4 42.9 57.3 42.9 42.9 11:54:55.307
27.477 41.0 40.7 45.8 68.4 42.9 57.3 42.9 42.9 11:54:55.477
27.648 41.1 40.7 45.8 68.4 42.9 57.3 42.9 42.9 11:54:55.648
27.819 41.1 40.7 45.8 68.4 42.9 57.3 42.9 42.9 11:54:55.819
27.989 40.9 40.7 45.8 68.4 42.9 57.3 42.9 42.9 11:54:55.989
28.160 41.0 40.7 45.8 68.4 42.9 57.4 42.9 42.9 11:54:56.160
28.331 41.0 40.7 45.8 68.4 42.9 57.4 42.9 42.9 11:54:56.331
28.501 41.1 40.7 45.8 68.4 42.9 57.4 42.9 42.9 11:54:56.501
28.672 41.0 40.7 45.8 68.4 42.8 57.4 42.8 42.8 11:54:56.672
28.843 41.1 40.7 45.8 68.4 42.8 57.4 42.8 42.8 11:54:56.843
29.013 41.2 40.7 45.8 68.4 42.8 57.5 42.8 42.8 11:54:57.013
29.184 41.3 40.7 45.8 68.4 42.8 57.5 42.8 42.8 11:54:57.184
29.355 41.2 40.7 45.8 68.4 42.8 57.5 42.8 42.8 11:54:57.355
29.525 41.2 40.7 45.8 68.4 42.8 57.5 42.8 42.8 11:54:57.525
29.696 41.2 40.7 45.8 68.4 42.8 57.5 42.8 42.8 11:54:57.696
29.867 41.3 40.7 45.8 68.4 42.8 57.6 42.8 42.8 11:54:57.867
30.037 41.1 40.7 45.8 68.4 42.8 57.6 42.8 42.8 11:54:58.037
30.208 41.1 40.7 45.8 68.4 42.8 57.6 42.8 42.8 11:54:58.208
30.379 41.2 40.7 45.8 68.4 42.8 57.6 42.8 42.8 11:54:58.379
30.549 41.3 40.7 45.8 68.4 42.8 57.6 42.8 42.8 11:54:58.549
30.720 41.3 40.7 45.8 68.4 42.8 57.6 42.8 42.8 11:54:58.720
30.891 41.4 40.7 45.8 68.4 42.8 57.7 42.8 42.8 11:54:58.891
31.061 41.5 40.7 45.8 68.4 42.8 57.7 42.8 42.8 11:54:59.061
31.232 41.0 40.7 45.8 68.4 42.8 57.7 42.8 42.8 11:54:59.232
31.403 41.0 40.7 45.8 68.4 42.7 57.7 42.7 42.7 11:54:59.403
31.573 41.1 40.7 45.8 68.4 42.7 57.7 42.7 42.7 11:54:59.573
31.744 41.2 40.7 45.8 68.4 42.7 57.8 42.7 42.7 11:54:59.744
31.915 41.3 40.7 45.8 68.4 42.7 57.8 42.7 42.7 11:54:59.915
32.085 41.2 40.7 45.8 68.4 42.7 57.8 42.7 42.7 11:55:00.085
32.256 41.2 40.7 45.8 68.4 42.7 57.8 42.7 42.7 11:55:00.256
32.427 41.1 40.7 45.8 68.4 42.7 57.8 42.7 42.7 11:55:00.427
32.597 40.8 40.7 45.8 68.4 42.7 57.8 42.7 42.7 11:55:00.597
32.768 40.7 40.7 45.8 68.4 42.7 57.9 42.7 42.7 11:55:00.768
32.939 40.8 40.7 45.8 68.4 42.7 57.9 42.7 42.7 11:55:00.939
33.109 41.0 40.7 45.8 68.4 42.7 57.9 42.7 42.7 11:55:01.109
33.280 41.1 40.7 45.8 68.4 42.7 57.9 42.7 42.7 11:55:01.280
33.451 41.2 40.7 45.8 68.4 42.7 57.9 42.7 42.7 11:55:01.451
33.621 41.3 40.7 45.8 68.4 42.7 57.9 42.7 42.7 11:55:01.621
33.792 41.4 40.7 45.8 68.4 42.7 58.0 42.7 42.7 11:55:01.792
33.963 41.4 40.7 45.8 68.4 42.7 58.0 42.7 42.7 11:55:01.963
34.133 41.3 40.7 45.8 68.4 42.7 58.0 42.7 42.7 11:55:02.133
34.304 41.4 40.7 45.8 68.4 42.7 58.0 42.7 42.7 11:55:02.304
34.475 41.2 40.7 45.8 68.4 42.7 58.0 42.7 42.7 11:55:02.475
