SPL log data saved by REW V5.20.4
Soundcard cal: 
Mic/meter cal: 
SPL cal offset: 123.11048583984375 dB
High Pass Filter: Off
Date: Mar 4, 2022 11:47:51 AM
Start: 1646394471402
Log length: 516 entries over 88.1s
Log interval: 0.17066666666666666 seconds

Time[s] LCS LCSMin LCSMax LZpeak LCeq LCE LCeq1m LCeq10m
0.171 36.6 36.6 37.1 50.9 36.6 28.9 36.6 36.6 11:47:51.171
0.341 36.7 36.6 37.1 50.9 36.9 32.2 36.9 36.9 11:47:51.341
0.512 37.0 36.6 37.1 52.8 37.5 34.6 37.5 37.5 11:47:51.512
0.683 36.9 36.6 37.1 52.8 37.4 35.7 37.4 37.4 11:47:51.683
0.853 36.1 36.1 37.1 52.8 37.1 36.4 37.1 37.1 11:47:51.853
1.024 36.0 36.0 37.1 52.8 37.1 37.2 37.1 37.1 11:47:52.024
1.195 36.3 36.0 37.1 52.8 37.2 37.9 37.2 37.2 11:47:52.195
1.365 36.4 36.0 37.1 52.8 37.2 38.5 37.2 37.2 11:47:52.365
1.536 36.1 36.0 37.1 52.8 37.1 38.9 37.1 37.1 11:47:52.536
1.707 36.0 36.0 37.1 52.8 37.0 39.4 37.0 37.0 11:47:52.707
1.877 36.3 36.0 37.1 52.8 37.1 39.8 37.1 37.1 11:47:52.877
2.048 37.4 36.0 37.5 58.4 38.0 41.1 38.0 38.0 11:47:53.048
2.219 40.5 36.0 40.5 65.9 41.3 44.8 41.3 41.3 11:47:53.219
2.389 41.7 36.0 41.7 65.9 42.0 45.8 42.0 42.0 11:47:53.389
2.560 41.2 36.0 41.7 65.9 42.0 46.0 42.0 42.0 11:47:53.560
2.731 40.5 36.0 41.7 65.9 41.8 46.2 41.8 41.8 11:47:53.731
2.901 39.8 36.0 41.7 65.9 41.7 46.3 41.7 41.7 11:47:53.901
3.072 39.0 36.0 41.7 65.9 41.5 46.4 41.5 41.5 11:47:54.072
3.243 38.3 36.0 41.7 65.9 41.4 46.5 41.4 41.4 11:47:54.243
3.413 37.6 36.0 41.7 65.9 41.2 46.6 41.2 41.2 11:47:54.413
3.584 36.8 36.0 41.7 65.9 41.1 46.6 41.1 41.1 11:47:54.584
3.755 36.3 36.0 41.7 65.9 40.9 46.7 40.9 40.9 11:47:54.755
3.925 35.8 35.8 41.7 65.9 40.8 46.7 40.8 40.8 11:47:54.925
4.096 35.7 35.6 41.7 65.9 40.7 46.8 40.7 40.7 11:47:55.096
