SPL log data saved by REW V5.20.4
Soundcard cal: 
Mic/meter cal: 
SPL cal offset: 124.09477157592772 dB
High Pass Filter: Off
Date: Mar 4, 2022 11:38:24 AM
Start: 1646393904018
Log length: 507 entries over 86.5s
Log interval: 0.17066666666666666 seconds

Time[s] LCS LCSMin LCSMax LZpeak LCeq LCE LCeq1m LCeq10m
0.171 37.9 37.9 38.1 68.9 38.3 30.6 38.3 38.3 11:38:24.171
0.341 37.8 37.8 38.1 68.9 38.2 33.6 38.2 38.2 11:38:24.341
0.512 37.7 37.6 38.1 68.9 38.3 35.4 38.3 38.3 11:38:24.512
0.683 37.5 37.5 38.1 68.9 38.2 36.5 38.2 38.2 11:38:24.683
0.853 37.7 37.5 38.1 70.8 38.3 37.6 38.3 38.3 11:38:24.853
1.024 37.5 37.4 38.1 70.8 38.1 38.2 38.1 38.1 11:38:25.024
1.195 37.5 37.4 38.1 70.8 38.1 38.9 38.1 38.1 11:38:25.195
1.365 37.4 37.3 38.1 70.8 38.1 39.5 38.1 38.1 11:38:25.365
1.536 37.0 37.0 38.1 70.8 38.0 39.9 38.0 38.0 11:38:25.536
1.707 36.6 36.6 38.1 70.8 37.9 40.2 37.9 37.9 11:38:25.707
1.877 36.6 36.6 38.1 70.8 37.8 40.5 37.8 37.8 11:38:25.877
2.048 36.6 36.6 38.1 70.8 37.7 40.8 37.7 37.7 11:38:26.048
2.219 36.4 36.3 38.1 70.8 37.6 41.1 37.6 37.6 11:38:26.219
2.389 36.2 36.2 38.1 70.8 37.6 41.3 37.6 37.6 11:38:26.389
2.560 36.0 36.0 38.1 70.8 37.5 41.6 37.5 37.5 11:38:26.560
2.731 36.3 36.0 38.1 70.8 37.5 41.9 37.5 37.5 11:38:26.731
2.901 36.2 36.0 38.1 70.8 37.5 42.1 37.5 37.5 11:38:26.901
3.072 36.2 36.0 38.1 70.8 37.5 42.3 37.5 37.5 11:38:27.072
