SPL log data saved by REW V5.20.4
Soundcard cal: 
Mic/meter cal: iMM-6_cal.txt
SPL cal offset: 119.27608108520508 dB
High Pass Filter: Off
Date: Mar 4, 2022 12:10:08 PM
Start: 1646395808619
Log length: 265 entries over 45.2s
Log interval: 0.17066666666666666 seconds

Time[s] LCS LCSMin LCSMax LZpeak LCeq LCE LCeq1m LCeq10m
0.171 59.4 59.4 59.6 68.7 59.5 51.8 59.5 59.5 12:10:08.171
0.341 59.1 59.1 59.6 68.7 59.3 54.7 59.3 59.3 12:10:08.341
0.512 59.2 59.1 59.6 69.6 59.4 56.5 59.4 59.4 12:10:08.512
0.683 59.2 59.1 59.6 69.6 59.4 57.8 59.4 59.4 12:10:08.683
0.853 58.9 58.9 59.6 69.6 59.3 58.6 59.3 59.3 12:10:08.853
1.024 59.0 58.9 59.6 69.6 59.4 59.5 59.4 59.4 12:10:09.024
1.195 58.9 58.9 59.6 69.6 59.3 60.1 59.3 59.3 12:10:09.195
1.365 58.7 58.7 59.6 69.6 59.3 60.6 59.3 59.3 12:10:09.365
1.536 58.8 58.7 59.6 69.6 59.3 61.1 59.3 59.3 12:10:09.536
1.707 58.8 58.7 59.6 69.6 59.3 61.6 59.3 59.3 12:10:09.707
1.877 58.7 58.7 59.6 69.6 59.3 62.0 59.3 59.3 12:10:09.877
2.048 58.8 58.7 59.6 69.6 59.3 62.4 59.3 59.3 12:10:10.048
2.219 59.0 58.7 59.6 69.6 59.3 62.8 59.3 59.3 12:10:10.219
2.389 59.0 58.7 59.6 69.6 59.3 63.1 59.3 59.3 12:10:10.389
2.560 58.9 58.7 59.6 69.6 59.3 63.4 59.3 59.3 12:10:10.560
2.731 59.0 58.7 59.6 70.3 59.3 63.6 59.3 59.3 12:10:10.731
2.901 58.8 58.7 59.6 70.3 59.3 63.9 59.3 59.3 12:10:10.901
3.072 58.9 58.7 59.6 70.3 59.3 64.2 59.3 59.3 12:10:11.072
3.243 58.8 58.7 59.6 70.3 59.3 64.4 59.3 59.3 12:10:11.243
3.413 58.7 58.7 59.6 70.3 59.3 64.6 59.3 59.3 12:10:11.413
3.584 58.8 58.7 59.6 70.6 59.2 64.8 59.2 59.2 12:10:11.584
3.755 58.6 58.6 59.6 70.6 59.2 65.0 59.2 59.2 12:10:11.755
3.925 58.7 58.6 59.6 70.6 59.2 65.2 59.2 59.2 12:10:11.925
4.096 58.6 58.6 59.6 70.6 59.2 65.3 59.2 59.2 12:10:12.096
4.267 58.7 58.6 59.6 70.6 59.2 65.5 59.2 59.2 12:10:12.267
4.437 58.8 58.6 59.6 70.6 59.2 65.7 59.2 59.2 12:10:12.437
4.608 58.9 58.6 59.6 70.6 59.2 65.9 59.2 59.2 12:10:12.608
4.779 59.0 58.6 59.6 70.6 59.2 66.0 59.2 59.2 12:10:12.779
4.949 58.8 58.6 59.6 70.6 59.2 66.2 59.2 59.2 12:10:12.949
5.120 58.8 58.6 59.6 70.6 59.2 66.3 59.2 59.2 12:10:13.120
5.291 58.8 58.6 59.6 70.6 59.2 66.5 59.2 59.2 12:10:13.291
5.461 58.9 58.6 59.6 70.6 59.2 66.6 59.2 59.2 12:10:13.461
5.632 58.7 58.6 59.6 70.6 59.2 66.7 59.2 59.2 12:10:13.632
5.803 58.5 58.5 59.6 70.6 59.2 66.8 59.2 59.2 12:10:13.803
5.973 58.6 58.5 59.6 70.6 59.2 67.0 59.2 59.2 12:10:13.973
6.144 58.7 58.5 59.6 70.6 59.2 67.1 59.2 59.2 12:10:14.144
6.315 58.8 58.5 59.6 70.6 59.2 67.2 59.2 59.2 12:10:14.315
6.485 58.5 58.5 59.6 70.6 59.2 67.3 59.2 59.2 12:10:14.485
6.656 58.7 58.5 59.6 70.6 59.2 67.4 59.2 59.2 12:10:14.656
6.827 58.8 58.5 59.6 70.6 59.2 67.6 59.2 59.2 12:10:14.827
6.997 58.9 58.5 59.6 70.6 59.2 67.7 59.2 59.2 12:10:14.997
7.168 58.6 58.5 59.6 70.6 59.2 67.8 59.2 59.2 12:10:15.168
7.339 58.7 58.5 59.6 70.6 59.2 67.9 59.2 59.2 12:10:15.339
7.509 58.8 58.5 59.6 70.6 59.2 68.0 59.2 59.2 12:10:15.509
7.680 58.9 58.5 59.6 70.6 59.2 68.1 59.2 59.2 12:10:15.680
7.851 58.9 58.5 59.6 70.6 59.2 68.2 59.2 59.2 12:10:15.851
8.021 59.0 58.5 59.6 70.6 59.2 68.3 59.2 59.2 12:10:16.021
8.192 59.0 58.5 59.6 70.6 59.2 68.4 59.2 59.2 12:10:16.192
8.363 59.2 58.5 59.6 71.1 59.2 68.5 59.2 59.2 12:10:16.363
8.533 59.1 58.5 59.6 71.1 59.3 68.6 59.3 59.3 12:10:16.533
8.704 58.9 58.5 59.6 71.1 59.3 68.7 59.3 59.3 12:10:16.704
8.875 58.8 58.5 59.6 71.1 59.2 68.7 59.2 59.2 12:10:16.875
