SPL log data saved by REW V5.20.4
Soundcard cal: 
Mic/meter cal: 
SPL cal offset: 106.9420265197754 dB
High Pass Filter: Off
Date: May 21, 2022 11:26:58 AM
Start: 1653132418245
Log length: 315 entries over 53.8s
Log interval: 0.17066666666666666 seconds

Time[s] LCS LCSMin LCSMax LZpeak LCeq LCE LCeq1m LCeq10m
0.171 43.0 42.7 43.0 67.6 44.4 36.7 44.4 44.4 11:26:58.171
0.341 42.9 42.6 43.0 67.6 44.3 39.6 44.3 44.3 11:26:58.341
0.512 42.2 42.2 43.0 67.6 43.1 40.2 43.1 43.1 11:26:58.512
0.683 41.8 41.7 43.0 67.6 42.8 41.2 42.8 42.8 11:26:58.683
0.853 41.1 41.1 43.0 67.6 42.1 41.4 42.1 42.1 11:26:58.853
1.024 40.4 40.4 43.0 67.6 41.5 41.6 41.5 41.5 11:26:59.024
1.195 39.6 39.6 43.0 67.6 41.1 41.8 41.1 41.1 11:26:59.195
1.365 38.9 38.9 43.0 67.6 40.7 42.0 40.7 40.7 11:26:59.365
1.536 38.2 38.2 43.0 67.6 40.3 42.2 40.3 40.3 11:26:59.536
1.707 37.4 37.4 43.0 67.6 40.1 42.4 40.1 40.1 11:26:59.707
1.877 36.7 36.7 43.0 67.6 39.8 42.5 39.8 39.8 11:26:59.877
2.048 36.2 36.2 43.0 67.6 39.6 42.7 39.6 39.6 11:27:00.048
2.219 35.5 35.5 43.0 67.6 39.4 42.8 39.4 39.4 11:27:00.219
2.389 35.4 35.4 43.0 67.6 39.2 43.0 39.2 39.2 11:27:00.389
2.560 35.2 35.2 43.0 67.6 39.0 43.1 39.0 39.0 11:27:00.560
2.731 35.3 35.2 43.0 67.6 38.9 43.2 38.9 38.9 11:27:00.731
2.901 35.2 35.2 43.0 67.6 38.7 43.3 38.7 38.7 11:27:00.901
3.072 35.4 35.2 43.0 67.6 38.6 43.5 38.6 38.6 11:27:01.072
3.243 35.2 35.2 43.0 67.6 38.5 43.6 38.5 38.5 11:27:01.243
3.413 35.3 35.2 43.0 67.6 38.4 43.7 38.4 38.4 11:27:01.413
3.584 35.1 35.1 43.0 67.6 38.3 43.8 38.3 38.3 11:27:01.584
3.755 34.9 34.9 43.0 67.6 38.2 43.9 38.2 38.2 11:27:01.755
3.925 35.1 34.9 43.0 67.6 38.1 44.1 38.1 38.1 11:27:01.925
4.096 35.1 34.9 43.0 67.6 38.0 44.2 38.0 38.0 11:27:02.096
4.267 35.2 34.9 43.0 67.6 38.0 44.3 38.0 38.0 11:27:02.267
4.437 35.3 34.9 43.0 67.6 37.9 44.4 37.9 37.9 11:27:02.437
